date_added,persistent_id,name,kind,podcast,album_artist,bitrate,play_date_utc,unplayed,comments,location,sort_album,file_folder_count,track_id,size,artwork_count,library_folder_count,track_type,album,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist,composer
2022-01-04 02:36:34,5B816306DBCAD639,"Ep. 1: Accelerated Learning, Speed Reading, & How Anyone Can Become a SuperLearner with Prof. Anna & Dr. Lev Goldentouch",,True,,,2015-02-13 19:23:16,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._1_-_Accelerated_Learning_Speed_Reading__How_Anyone_Can_Become_a_SuperLearner_with_Prof._Anna__Dr._Lev_Goldentouch.mp3?dest-id=246682,SuperHuman Academy Podcast,,13084,54109888,,,URL,The SuperHuman Academy Podcast,,2015-01-27 13:00:00,Podcast,,4325000,3506674996,,,
2022-01-04 02:36:34,32FA7A72E35E1998,"Ep. 2: Erwan Le Corre on Natural Movement, Paleo Fitness, and Modern Lifestyles",,True,,,2015-02-13 01:05:15,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._2_-_Erwan_Le_Corre_on_Natural_Movement_Paleo_Fitness_and_Modern_Lifestyles.mp3?dest-id=246682,SuperHuman Academy Podcast,,13086,43016669,,,URL,The SuperHuman Academy Podcast,,2015-02-03 13:00:00,Podcast,,3379000,3506609115,,,
2022-01-04 02:36:34,1709FD3B94CA33F9,Ep. 3: Dr. Anthony Metivier on How to Remember Anything & Everything,,True,,,2015-02-12 23:36:29,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._3_-_Dr._Anthony_Metivier_on_How_to_Remember_Anything__Everything.mp3?dest-id=246682,SuperHuman Academy Podcast,,13088,51286094,,,URL,The SuperHuman Academy Podcast,,2015-02-10 13:00:00,Podcast,,4089000,3506603789,,,
2022-01-04 02:36:34,C0EA78964AC266A7,Ep. 4: Can Everyone Do SuperHuman Acrobatic Feats? Yuri Marmerstein Tells Us How,,True,,,2015-03-02 18:34:06,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._4_-_Can_Everyone_Do_SuperHuman_Acrobatic_Feats_Yuri_Marmerstein_Tells_Us_How.mp3?dest-id=246682,SuperHuman Academy Podcast,,13090,40368055,,,URL,The SuperHuman Academy Podcast,,2015-02-17 13:00:00,Podcast,,3158000,3508140846,,,
2022-01-04 02:36:34,070F9E44A0E54755,"Ep. 5: USA Memory Champion Nelson Dellis on Memory, Tenacity, and Conquering Anything",,True,,,2015-02-28 01:06:48,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._5_-_USA_Memory_Champion_Nelson_Dellis_on_Memory_Tenacity_and_Conquering_Anything.mp3?dest-id=246682,SuperHuman Academy Podcast,,13092,31622896,,,URL,The SuperHuman Academy Podcast,,2015-02-24 12:00:00,Podcast,,2429000,3507905208,,,
2022-01-04 02:36:34,577946982D906177,Ep. 6: Benny Lewis on How to Learn a Language Fast,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._6_-_Benny_Lewis_on_How_to_Learn_a_Language_Fast.mp3?dest-id=246682,SuperHuman Academy Podcast,,13094,24788070,,,URL,The SuperHuman Academy Podcast,,2015-03-03 11:00:00,Podcast,,1860000,,,,
2022-01-04 02:36:34,3CF56A157E684645,"Ep. 7: Dr  Andrew Hill on Nootropics, DIY Neuroscience, and How to Increase Your Brain Power",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._7_-_Dr_Andrew_Hill_on_Nootropics_DIY_Neuroscience_and_How_to_Increase_Your_Brain_Power.mp3?dest-id=246682,SuperHuman Academy Podcast,,13096,42651225,,,URL,The SuperHuman Academy Podcast,,2015-03-10 11:00:00,Podcast,,3348000,,,,
2022-01-04 02:36:34,AB54DE83D56AE130,"Ep. 8: Ryan Ford on Parkour, Injury Prevention, Entrepreneurship, & Being Prepared for Anything",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._8_-_Ryan_Ford_on_Parkour_Injury_Prevention_Entrepreneurship__Being_Prepared_for_Anything.mp3?dest-id=246682,SuperHuman Academy Podcast,,13098,38287185,,,URL,The SuperHuman Academy Podcast,,2015-03-17 11:00:00,Podcast,,2558000,,,,
2022-01-04 02:36:34,B967961A01FC4178,Ep. 9: World Champion Thai Boxer Adi Rotem on Why Hard Work Beats Talent,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._9_-_World_Champion_Thai_Boxer_Adi_Rotem_on_Why_Hard_Work_Beats_Talent.mp3?dest-id=246682,SuperHuman Academy Podcast,,13100,26816068,,,URL,The SuperHuman Academy Podcast,,2015-03-24 11:00:00,Podcast,,2028000,,,,
2022-01-04 02:36:34,7966CDC038DC2700,"Ep. 10: Self Defense & Nutrition Expert Jennifer Cassetta on How to Defend Your Mind, Body, and Heart",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._10_-_Self_Defense__Nutrition_Expert_Jennifer_Cassetta_on_How_to_Defend_Your_Mind_Body_and_Heart.mp3?dest-id=246682,SuperHuman Academy Podcast,,13102,29162501,,,URL,The SuperHuman Academy Podcast,,2015-03-31 10:00:00,Podcast,,2224000,,,,
2022-01-04 02:36:34,25323DFD76D77866,"Ep. 11: Maneesh Sethi on Hacking Life, Habit Change, and Discovering Who You Are",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._11_-_Maneesh_Sethi_on_Hacking_Life_Habit_Change_and_Discovering_Who_You_Are.mp3?dest-id=246682,SuperHuman Academy Podcast,,13104,32959997,,,URL,The SuperHuman Academy Podcast,,2015-04-07 10:00:00,Podcast,,2540000,,,,
2022-01-04 02:36:34,796FB19E7906F1A8,"Ep. 12: Discovering Meditation, Happiness, and Inner Peace with Meditation Teacher Chad Foreman",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._12_-_Discovering_Meditation_Happiness_and_Inner_Peace_with_Meditation_Teacher_Chad_Foreman.mp3?dest-id=246682,SuperHuman Academy Podcast,,13106,33328429,,,URL,The SuperHuman Academy Podcast,,2015-04-14 09:00:00,Podcast,,2571000,,,,
2022-01-04 02:36:34,7771DC6EA9CE467C,"Ep. 13: Diane Fu on CrossFit, Olympic Weightlifting, and the Importance of Strong Women",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._13_-_Diane_Fu_on_CrossFit_Olympic_Weightlifting_and_the_Importance_of_Strong_Women.mp3?dest-id=246682,SuperHuman Academy Podcast,,13108,44160345,,,URL,The SuperHuman Academy Podcast,,2015-04-21 09:00:00,Podcast,,3474000,,,,
2022-01-04 02:36:34,B96607A51F703BBB,Ep. 14: Luis Congdon on Building Healthy Relationships That Help You Grow,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._14_-_Luis_Congdon_on_Building_Healthy_Relationships_That_Help_You_Grow.mp3?dest-id=246682,SuperHuman Academy Podcast,,13110,27978509,,,URL,The SuperHuman Academy Podcast,,2015-04-28 09:00:00,Podcast,,2125000,,,,
2022-01-04 02:36:34,0EADAAB67BB17126,"Ep. 15: Vanessa Van Edwards on How Body Language Can Make You Happier, More Confident, & More Successful",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._15_-_Vanessa_Van_Edwards_on_How_Body_Language_Can_Make_You_Happier_More_Confident__More_Successful.mp3?dest-id=246682,SuperHuman Academy Podcast,,13112,26188169,,,URL,The SuperHuman Academy Podcast,,2015-05-05 09:00:00,Podcast,,1976000,,,,
2022-01-04 02:36:34,7BC6FB0A626D5855,"Ep. 16: Carl Paoli on Movement, Life Purpose, & Four Movements to Maximize Your Performance",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._16_-_Carl_Paoli_on_Movement_Life_Purpose__Four_Movements_to_Maximize_Your_Performance.mp3?dest-id=246682,SuperHuman Academy Podcast,,13114,32087824,,,URL,The SuperHuman Academy Podcast,,2015-05-12 09:00:00,Podcast,,2467000,,,,
2022-01-04 02:36:34,AE36953A271D6D64,Ep. 17: Discovering the Characteristics of Effective Learning with Peter C. Brown,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._17_-_Discovering_the_Characteristics_of_Effective_Learning_with_Peter_C._Brown.mp3?dest-id=246682,SuperHuman Academy Podcast,,13116,33982839,,,URL,The SuperHuman Academy Podcast,,2015-05-19 09:00:00,Podcast,,2626000,,,,
2022-01-04 02:36:34,FCAEF8BD5AB4501A,"Ep. 18: Mitch Matthews on Goal Setting, Entrepreneurship, & How to Live Your Dream",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._18_-_Mitch_Matthews_on_Goal_Setting_Entrepreneurship__How_to_Live_Your_Dream.mp3?dest-id=246682,SuperHuman Academy Podcast,,13118,38694748,,,URL,The SuperHuman Academy Podcast,,2015-05-26 09:00:00,Podcast,,3018000,,,,
2022-01-04 02:36:34,26F34EEFF272AF21,Ep. 19: The Complete Beginner's Guide to Passive Income,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._19_-_The_Complete_Beginners_Guide_to_Passive_Income.mp3?dest-id=246682,SuperHuman Academy Podcast,,13120,26572231,,,URL,The SuperHuman Academy Podcast,,2015-06-02 09:00:00,Podcast,,2009000,,,,
2022-01-04 02:36:34,8DFCDF011D62C1ED,Ep. 20: The Future of Wearable Technology & Cybernetics with Double RFID Chip Implantee Amal Graafstra.mp3,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._20_-_The_Future_of_Wearable_Technology__Cybernetics_with_Double_RFID_Chip_Implantee_Amal_Graafstra.mp3?dest-id=246682,SuperHuman Academy Podcast,,13122,25419345,,,URL,The SuperHuman Academy Podcast,,2015-06-09 09:00:00,Podcast,,1912000,,,,
2022-01-04 02:36:34,5FE5244E97281CDC,Ep. 21: Using Your Difference to Make a Difference & The Power of Multiculturalism W/ Tayo Rockson,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._21_-_Using_Your_Difference_to_Make_a_Difference__The_Power_of_Multiculturalism_With_Tayo_Rockson.mp3?dest-id=246682,SuperHuman Academy Podcast,,13124,29118464,,,URL,The SuperHuman Academy Podcast,,2015-06-16 09:00:00,Podcast,,2220000,,,,
2022-01-04 02:36:34,BE13A461D48D3723,Ep. 22: How to Achieve Anything (and Live Happily Along the Way) with John Michael Morgan,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._22_-_How_to_Achieve_Anything_and_Live_Happily_Along_the_Way_with_John_Michael_Morgan.mp3?dest-id=246682,SuperHuman Academy Podcast,,13126,38847270,,,URL,The SuperHuman Academy Podcast,,2015-06-23 09:00:00,Podcast,,3031000,,,,
2022-01-04 02:36:34,300218C6613053F1,"Ep. 23: Rory Vaden on Self Discipline, Procrastination, and Multiplying Your Time",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._23_-_Rory_Vaden_on_Self_Discipline_Procrastination_and_Multiplying_Your_Time.mp3?dest-id=246682,SuperHuman Academy Podcast,,13128,35957944,,,URL,The SuperHuman Academy Podcast,,2015-06-30 09:00:00,Podcast,,2790000,,,,
2022-01-04 02:36:34,53FA99C744DAB46A,"Ep. 24: Navy SEAL Dr. Kirk Parsley on Sleep vs. Performance, Heart Rate Variability, & Supplementation",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._24_-_Navy_SEAL_Dr._Kirk_Parsley_on_Sleep_vs._Performance_Heart_Rate_Variability__Supplementation.mp3?dest-id=246682,SuperHuman Academy Podcast,,13130,43436913,,,URL,The SuperHuman Academy Podcast,,2015-07-07 09:00:00,Podcast,,3414000,,,,
2022-01-04 02:36:34,553C5A0753ABDFA4,"Ep. 25: Gretchen Rubin on Discovering the Secrets to Happiness, Knowing Yourself, and Hacking Habits",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._25_-_Gretchen_Rubin_on_Discovering_the_Secrets_to_Happiness_Knowing_Yourself_and_Hacking_Habits.mp3?dest-id=246682,SuperHuman Academy Podcast,,13132,33790983,,,URL,The SuperHuman Academy Podcast,,2015-07-14 09:00:00,Podcast,,2610000,,,,
2022-01-04 02:36:34,63F1A2429A062655,"Ep. 26: America's #1 Trainer Ben Greenfield on Designing Your Ideal Exercise, Nutrition, & Supplement Regimen",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._26_-_Americas_No._1_Trainer_Ben_Greenfield_on_Designing_Your_Ideal_Exercise_Nutrition__Supplement_Regimen.mp3?dest-id=246682,SuperHuman Academy Podcast,,13134,26109646,,,URL,The SuperHuman Academy Podcast,,2015-07-21 09:00:00,Podcast,,1970000,,,,
2022-01-04 02:36:34,D0BE9AD2F637E2C7,"Ep. 27: Productivity Guru Chris Bailey on What Works, What Doesn't, & Living Purposefully",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._27_-_Productivity_Guru_Chris_Bailey_on_What_Works_What_Doesnt__Living_Purposefully.mp3?dest-id=246682,SuperHuman Academy Podcast,,13136,38924403,,,URL,The SuperHuman Academy Podcast,,2015-07-28 09:00:00,Podcast,,3037000,,,,
2022-01-04 02:36:34,C9CCC43C875A0191,Ep. 28: The Father of Modern Memory Improvement Harry Lorayne: 60 Years of Mnemonics,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._28_-_The_Father_of_Modern_Memory_Improvement_Harry_Lorayne_-_60_Years_of_Mnemonics.mp3?dest-id=246682,SuperHuman Academy Podcast,,13138,41754957,,,URL,The SuperHuman Academy Podcast,,2015-08-04 09:00:00,Podcast,,3273000,,,,
2022-01-04 02:36:34,057E273A318051D4,"Ep. 29: Hal Elrod on Motivation, Morning Routines, & Going From Legally Dead to Ultra-Marathons",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._29_-_Hal_Elrod_on_Motivation_Morning_Routines__Going_From_Legally_Dead_to_Ultra-Marathons.mp3?dest-id=246682,SuperHuman Academy Podcast,,13140,31385472,,,URL,The SuperHuman Academy Podcast,,2015-08-11 09:00:00,Podcast,,2409000,,,,
2022-01-04 02:36:34,D86AC1812B68379E,Ep. 30: Fitness Industry Insider Brad Pilon on Why You Should Stop Eating (At Least Temporarily),,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._30_-_Fitness_Industry_Insider_Brad_Pilon_on_Why_You_Should_Stop_Eating_At_Least_Temporarily.mp3?dest-id=246682,SuperHuman Academy Podcast,,13142,44922707,,,URL,The SuperHuman Academy Podcast,,2015-08-18 09:00:00,Podcast,,3538000,,,,
2022-01-04 02:36:34,9C8EE32B57AAD709,"Ep. 31: Ari Meisel on Productivity, Healing, & How to Work Just 2 Days a Week",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._31_-_Ari_Meisel_on_Productivity_Healing__How_to_Work_Just_2_Days_a_Week.mp3?dest-id=246682,SuperHuman Academy Podcast,,13144,28978597,,,URL,The SuperHuman Academy Podcast,,2015-08-25 09:00:00,Podcast,,2209000,,,,
2022-01-04 02:36:34,C7BD978E817481E4,Ep. 32: John Lee Dumas on How to Make Millions Doing What You LOVE,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._32_-_John_Lee_Dumas_on_How_to_Make_Millions_Doing_What_You_LOVE.mp3?dest-id=246682,SuperHuman Academy Podcast,,13146,20233462,,,URL,The SuperHuman Academy Podcast,,2015-09-01 09:00:00,Podcast,,1480000,,,,
2022-01-04 02:36:34,B13F92FCF40EEACC,"Ep. 33: How ""Floating"" Could Change Your Life with Sensory Deprivation Expert Shane Stott",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._33_-_How_Floating_Could_Change_Your_Life_with_Sensory_Deprivation_Expert_Shane_Stott.mp3?dest-id=246682,SuperHuman Academy Podcast,,13148,29049145,,,URL,The SuperHuman Academy Podcast,,2015-09-08 09:00:00,Podcast,,2215000,,,,
2022-01-04 02:36:34,DB140128C7C606FA,"Ep. 34A: Dr. Anthony Metivier & Jonathan Levi on Memory, Learning, Life, and Happiness",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep_34A_-_Dr._Anthony_Metivier__Jonathan_Levi_on_Memory_Learning_Life_and_Happiness.mp3?dest-id=246682,SuperHuman Academy Podcast,,13150,45321892,,,URL,The SuperHuman Academy Podcast,,2015-09-15 09:00:00,Podcast,,3744000,,,,
2022-01-04 02:36:34,2D92CDFA0E4A68B0,"Ep. 34B: Dr. Anthony Metivier & Jonathan Levi on Memory, Learning, Life, and Happiness",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep_34B_-_Dr._Anthony_Metivier__Jonathan_Levi_on_Memory_Learning_Life_and_Happiness.mp3?dest-id=246682,SuperHuman Academy Podcast,,13152,42521317,,,URL,The SuperHuman Academy Podcast,,2015-09-15 09:01:00,Podcast,,3510000,,,,
2022-01-04 02:36:34,0CE36B7DC143C2A6,Ep. 35: Abel James on How to Lose Belly Fat... By Eating More Fat,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._35_-_Abel_James_on_How_to_Lose_Belly_Fat..._By_Eating_More_Fat.mp3?dest-id=246682,SuperHuman Academy Podcast,,13154,34289252,,,URL,The SuperHuman Academy Podcast,,2015-09-22 09:00:00,Podcast,,2651000,,,,
2022-01-04 02:36:34,E9FF6D3091B17A31,"Ep. 36: How to Supercharge Your Sleep with Nick Littlehales, Sleep Coach to the World's Best Athletes",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._36_-_How_to_Supercharge_Your_Sleep_with_Nick_Littlehales_Sleep_Coach_to_the_Worlds_Best_Athletes.mp3?dest-id=246682,SuperHuman Academy Podcast,,13156,62433479,,,URL,The SuperHuman Academy Podcast,,2015-09-29 09:00:00,Podcast,,4996000,,,,
2022-01-04 02:36:34,848A1FFD649F71D6,Ep. 37: Raising Genius Children & Hacking Memory with Dr. Lev & Prof. Anna Goldentouch,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._37_-_Raising_Genius_Children__Hacking_Memory_with_Dr._Lev__Prof._Anna_Goldentouch.mp3?dest-id=246682,SuperHuman Academy Podcast,,13158,37587363,,,URL,The SuperHuman Academy Podcast,,2015-10-06 09:00:00,Podcast,,2926000,,,,
2022-01-04 02:36:34,53D4550E168578D4,Ep. 38: How the Paleo Diet (and Movement) Will Change Your Life with Top Authority Robb Wolf,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._38_-_How_the_Paleo_Diet_and_Movement_Will_Change_Your_Life_with_Top_Authority_Robb_Wolf.mp3?dest-id=246682,SuperHuman Academy Podcast,,13160,66597572,,,URL,The SuperHuman Academy Podcast,,2015-10-13 09:00:00,Podcast,,5344000,,,,
2022-01-04 02:36:34,AA639E45ED0EF643,Ep. 39: Kris Carr - These Simple Lifestyle Adjustments Can Help You Overcome Anything - Even Cancer.mp3,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._39_-_Kris_Carr_-_These_Simple_Lifestyle_Adjustments_Can_Help_You_Overcome_Anything_-_Even_Cancer.mp3?dest-id=246682,SuperHuman Academy Podcast,,13162,38804446,,,URL,The SuperHuman Academy Podcast,,2015-10-20 09:00:00,Podcast,,3028000,,,,
2022-01-04 02:36:34,A7B52DA847845FFF,"Ep. 40: Hormones, the Hidden Secret to Health, Youth, Performance, & Vitality with Dr. Tami Meraglia",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._40_-_Hormones_the_Hidden_Secret_to_Health_Youth_Performance__Vitality_with_Dr._Tami_Meraglia.mp3?dest-id=246682,SuperHuman Academy Podcast,,13164,33228285,,,URL,The SuperHuman Academy Podcast,,2015-10-27 09:00:00,Podcast,,2563000,,,,
2022-01-04 02:36:34,6EBE2B6F03D40504,"Ep. 41: The Past, Present, & Future of the Human Diet With Dr. Loren Cordain, Father of the Paleo Movement",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._41_-_The_Past_Present__Future_of_the_Human_Diet_With_Dr._Loren_Cordain_Father_of_the_Paleo_Movement.mp3?dest-id=246682,SuperHuman Academy Podcast,,13166,36403019,,,URL,The SuperHuman Academy Podcast,,2015-11-03 09:00:00,Podcast,,2828000,,,,
2022-01-04 02:36:34,5EFC80133DB268C0,Ep. 42: How to Learn Anything Faster (and Be Way More Productive) with Lifehacker Timothy Moser,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._42_-_How_to_Learn_Anything_Faster_and_Be_Way_More_Productive_with_Lifehacker_Timothy_Moser.mp3?dest-id=246682,SuperHuman Academy Podcast,,13168,37104416,,,URL,The SuperHuman Academy Podcast,,2015-11-10 11:00:00,Podcast,,2886000,,,,
2022-01-04 02:36:34,0633EDA9153BF73F,Ep. 43: How to Make Paleo Work for You with Michelle Tam of Nom Nom Paleo,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._43_-_How_to_Make_Paleo_Work_for_You_with_Michelle_Tam_of_Nom_Nom_Paleo.mp3?dest-id=246682,SuperHuman Academy Podcast,,13170,36089613,,,URL,The SuperHuman Academy Podcast,,2015-11-17 11:00:00,Podcast,,2801000,,,,
2022-01-04 02:36:34,806BA7F081018149,"Ep. 44: How Scientific Research (& Supplement Companies) Mislead You with Kamal Patel, Examine.com",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._44_-_How_Scientific_Research__Supplement_Companies_Mislead_You_with_Kamal_Patel_Examine.com.mp3?dest-id=246682,SuperHuman Academy Podcast,,13172,35341165,,,URL,The SuperHuman Academy Podcast,,2015-11-24 11:00:00,Podcast,,2739000,,,,
2022-01-04 02:36:34,F7D41C873C7537B2,"Ep. 45: How to Create a Life of Purpose, Fulfillment, and Joy with Derek Sivers",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._45_-_How_to_Create_a_Life_of_Purpose_Fulfillment_and_Joy_with_Derek_Sivers.mp3?dest-id=246682,SuperHuman Academy Podcast,,13174,42913281,,,URL,The SuperHuman Academy Podcast,,2015-12-01 11:00:00,Podcast,,3370000,,,,
2022-01-04 02:36:34,32050626534C9E15,Ep. 46: Which Learning Strategies Do & Don't Work With Expert Dr. Daniel T. Willingham,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._46_-_Which_Learning_Strategies_Do__Dont_Work_With_Expert_Dr._Daniel_T._Willingham.mp3?dest-id=246682,SuperHuman Academy Podcast,,13176,35098489,,,URL,The SuperHuman Academy Podcast,,2015-12-08 11:00:00,Podcast,,2719000,,,,
2022-01-04 02:36:34,B3075A8577B33B2F,Ep. 47: Why Advanced Blood Testing is the Key to Optimal Health with Dr. Murdoc Khaleghi of WellnessFX,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._47_-_Why_Advanced_Blood_Testing_is_the_Key_to_Optimal_Health_with_Dr._Murdoc_Khaleghi_of_WellnessFX.mp3?dest-id=246682,SuperHuman Academy Podcast,,13178,36640874,,,URL,The SuperHuman Academy Podcast,,2015-12-15 11:00:00,Podcast,,2848000,,,,
2022-01-04 02:36:34,B765BD9F4B0ECFCB,"Ep. 48: Dr. Vivienne Ming on Hyperintelligence, Predicting Life Outcomes, the Future of Education, & How We Will Optimize Human Potential",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._48_-_Dr._Vivienne_Ming_on_Hyperintelligence_Predicting_Life_Outcomes_the_Future_of_Education__How_We_Will_Optimize_Human_Potential.mp3?dest-id=246682,SuperHuman Academy Podcast,,13180,43816002,,,URL,The SuperHuman Academy Podcast,,2015-12-22 11:00:00,Podcast,,3445000,,,,
2022-01-04 02:36:34,1819376CB21144CF,"Ep. 49: How Wheat & Grains Are Literally Killing You W/ Wheat Belly Author William Davis, M.D.",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._49_-_How_Wheat__Grains_Are_Literally_Killing_You_With_Wheat_Belly_Author_William_Davis_M.D..mp3?dest-id=246682,SuperHuman Academy Podcast,,13182,42006838,,,URL,The SuperHuman Academy Podcast,,2015-12-29 11:00:00,Podcast,,3294000,,,,
2022-01-04 02:36:34,E1CAE117341D04DA,Ep. 50: How To Be the Most Productive Person You Know w/ Chris Bailey,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._50_-_How_To_Be_the_Most_Productive_Person_You_Know_with_Chris_Bailey.mp3?dest-id=246682,SuperHuman Academy Podcast,,13184,39339899,,,URL,The SuperHuman Academy Podcast,,2016-01-05 11:00:00,Podcast,,3072000,,,,
2022-01-04 02:36:34,64B03A707EA68643,Ep. 51: How to Reach Your Peak Potential & Be an Ultra High Performer with Coach Josh Felber,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._51_-_How_to_Reach_Your_Peak_Potential__Be_an_Ultra_High_Performer_with_Coach_Josh_Felber.mp3?dest-id=246682,SuperHuman Academy Podcast,,13186,35220045,,,URL,The SuperHuman Academy Podcast,,2016-01-12 11:00:00,Podcast,,2729000,,,,
2022-01-04 02:36:34,39E712E32ACE2045,"Ep. 52: We Talk Nootropics, Brain Supplements, & Cognitive Enhancers w/ Expert Jesse Lawler",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._52_-_We_Talk_Nootropics_Brain_Supplements__Cognitive_Enhancers_with_Expert_Jesse_Lawler.mp3?dest-id=246682,SuperHuman Academy Podcast,,13188,41964131,,,URL,The SuperHuman Academy Podcast,,2016-01-19 11:00:00,Podcast,,3291000,,,,
2022-01-04 02:36:34,A567E4D1EDB52E5A,Ep. 53: How to Change Your Life & Be A Total Badass w/ Jen Sincero,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._53_-_How_to_Change_Your_Life__Be_A_Total_Badass_with_Jen_Sincero.mp3?dest-id=246682,SuperHuman Academy Podcast,,13190,35593909,,,URL,The SuperHuman Academy Podcast,,2016-01-26 11:00:00,Podcast,,2760000,,,,
2022-01-04 02:36:34,FC904508E93B06A1,Ep. 54: Gabriel Wyner on Learning Languages & Becoming Fluent Faster,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._54_-_Gabriel_Wyner_on_Learning_Languages__Becoming_Fluent_Faster.mp3?dest-id=246682,SuperHuman Academy Podcast,,13192,36009256,,,URL,The SuperHuman Academy Podcast,,2016-02-02 11:00:00,Podcast,,2795000,,,,
2022-01-04 02:36:34,378782C15199DDCB,Ep. 55: Discovering the Magical Power of Medicinal Mushrooms w/ Four Sigmatic's Tero Isokauppila,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._55_-_Discovering_the_Magical_Power_of_Medicinal_Mushrooms_with_Four_Sigmatics_Tero_Isokauppila.mp3?dest-id=246682,SuperHuman Academy Podcast,,13194,33850979,,,URL,The SuperHuman Academy Podcast,,2016-02-09 11:00:00,Podcast,,2578000,,,,
